CRASH DATE,CRASH TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,COLLISION_ID,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
03/18/2016,20:40,QUEENS,11418,40.701656,-73.830505,"(40.701656, -73.830505)",,,120-11    HILLSIDE AVENUE               ,1,0,0,0,0,0,1,0,Unspecified,,,,,3422197,Station Wagon/Sport Utility Vehicle,,,,
03/18/2016,12:30,BROOKLYN,11219,,,,65 STREET                       ,NEW UTRECHT AVENUE,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3415133,4 dr sedan,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,14:00,,,40.84561,-73.92594,"(40.84561, -73.92594)",MAJOR DEEGAN EXPRESSWAY         ,,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3412820,Station Wagon/Sport Utility Vehicle,Pick-up Truck,,,
03/18/2016,15:55,,,40.6854,-73.82947,"(40.6854, -73.82947)",,,LIBERTY AVENUE                          ,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,,,3424449,Motorcycle,Station Wagon/Sport Utility Vehicle,4 dr sedan,,
03/18/2016,16:15,BROOKLYN,11219,40.63622,-73.994446,"(40.63622, -73.994446)",,,4915      12 AVENUE                     ,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3415849,Bike,4 dr sedan,,,
03/18/2016,16:40,BRONX,10463,40.870274,-73.90516,"(40.870274, -73.90516)",,,2669      KINGSBRIDGE TERRACE           ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3414168,4 dr sedan,4 dr sedan,,,
03/18/2016,12:30,BRONX,10474,40.7244,-73.9818,"(40.7244, -73.9818)",HUNTS POINT AVENUE              ,GILBERT PLACE,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3411301,4 dr sedan,,,,
03/18/2016,18:00,QUEENS,11385,,,,MYRTLE AVENUE                   ,81 STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3423131,4 dr sedan,4 dr sedan,,,
03/18/2016,22:00,QUEENS,11356,40.7244,-73.9818,"(40.7244, -73.9818)",130 STREET                      ,20 AVENUE,,1,0,0,0,0,0,1,0,Driver Inattention/Distraction,Unspecified,,,,3426087,Station Wagon/Sport Utility Vehicle,4 dr sedan,,,
03/18/2016,17:45,,,40.817734,-73.8047,"(40.817734, -73.8047)",THROGS NECK BRIDGE              ,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3412507,Sedan,Station Wagon/Sport Utility Vehicle,,,
03/18/2016,17:05,BROOKLYN,11237,,,,,,295       STANHOPE STREET               ,0,0,0,0,0,0,0,0,Passing Too Closely,Unspecified,,,,3420436,4 dr sedan,,,,
